owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
kathie29,2017-07,7,7,7,,,,,,,,,,,,,,,,,,,,,3,,kathie29,2017-07,5
iOS-stars,2017-11,2,1,1,,,,,,,1,0,0,1,2,2,2,1,0,0,1,2,2,2,,,,,
smrity123,2017-05,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,smrity123,2017-05,1
jxyxdwy,2017-01,9,4,3,,,,,,,,,,,,,,,,,,,,,2,,jxyxdwy,2017-01,3
atomikaya,2017-04,12,12,12,,1,,,,,,,,,,,,,,,,,,,1,,atomikaya,2017-04,1
Hamza-Malik,2017-01,8,8,8,,,,,,,,,,,,,,,,,,,,,,,Hamza-Malik,2017-01,1
GwenaelDidier,2017-01,8,8,8,,,,,,,,,,,,,,,,,,,,,3,,GwenaelDidier,2017-01,3
salody,2017-09,45,33,29,,,,,,,,,,,,,,,,,,,,,2,,salody,2017-09,2
thestr4ng3r,2017-07,26,16,14,,4,,,,,,,,,,,,,,,,,,,1,,thestr4ng3r,2017-07,2
Iqra93,2017-04,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,Iqra93,2017-04,1
infi0209,2017-12,10,10,10,,,,,,,,,,,,,,,,,,,,,1,,infi0209,2017-12,1
JuliaRechkunova,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
liu406y,2017-11,5,4,4,,,,,,,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,liu406y,2017-11,2
riqharris1,2017-08,4,4,3,,,,,,,,,,,,,,,,,,,,,1,,riqharris1,2017-08,1
aubreymarks,2017-06,34,32,32,,,,,,,2,0,0,2,213,214,2,2,0,0,2,213,214,2,2,1,aubreymarks,2017-06,2
teddyrendahl,2017-09,1029,882,131,,,,13,1,,11,0,0,42,919,397,47,12,13,0,51,1004,428,53,8,1,teddyrendahl,2017-09,8
pknight24,2017-04,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,pknight24,2017-04,1
SteffenPegenau,2017-04,19,19,16,,,,8,12,13,,,,,,,,,,,,,,,,,,,
AminRahkan,2017-10,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,AminRahkan,2017-10,1
aegosoma,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
danilov1,2017-09,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
EmergeInc,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,EmergeInc,2017-12,1
ktty1220,2017-01,14,14,4,1,4,,,,1,1,0,0,1,1,0,1,,,,,,,,,1,,,
NASOKILA,2017-04,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
nomoreboredom,2017-09,13,13,13,,,,,,,,,,,,,,,,,,,,,2,,nomoreboredom,2017-09,2
sean-park,2017-06,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
sergeyruban,2017-12,31,31,29,,,,,,,,,,,,,,,,,,,,,3,,sergeyruban,2017-12,3
Erik831219,2017-04,52,52,52,,,,,,,,,,,,,,,,,,,,,,,,,
ChuckHeintzelman,2017-01,5,5,5,2,2,,,1,,,,,,,,,,,,,,,,1,,ChuckHeintzelman,2017-01,1
hudsonpereira,2017-10,11,11,11,,,,,,,,,,,,,,,,,,,,,4,,hudsonpereira,2017-10,5
NikhilBhutani,2017-01,3,3,3,,3,,,,,,,,,,,,,,,,,,,1,,NikhilBhutani,2017-01,1
FSG1,2017-09,44,40,25,,,,,,,2,0,0,8,642,335,27,1,0,0,4,352,329,25,5,2,FSG1,2017-09,4
cgc0415,2017-02,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
cookgb,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
Asalem1,2017-08,14,14,10,2,,,,,,,,,,,,,,,,,,,,,,,,
zhangzezhou,2017-09,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,zhangzezhou,2017-09,2
Slippin7Jimmy,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,Slippin7Jimmy,2017-10,2
kenta7777,2017-06,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,kenta7777,2017-06,1
FresnoState,2017-03,23,23,22,,,,,,,,,,,,,,,,,,,,,2,,FresnoState,2017-03,1
christianbrill,2017-09,7,7,7,,,,,,,,,,,,,,,,,,,,,2,,christianbrill,2017-09,2
cpan4875,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,cpan4875,2017-11,1
franklinqin0,2017-12,31,31,22,,,,,,1,,,,,,,,,,,,,,,4,,franklinqin0,2017-12,2
tekina,2017-08,12,12,12,,,,,,,,,,,,,,,,,,,,,1,,tekina,2017-08,1
NazarK,2017-01,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,NazarK,2017-01,1
4cargit,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
cpind,2017-03,194,194,104,,,,,,,,,,,,,,,,,,,,,4,,cpind,2017-03,2
veredrec,2017-10,10,6,5,,,,,9,6,6,0,0,6,2151,24,28,5,0,0,5,2097,24,21,1,1,veredrec,2017-10,2
damdravic,2017-10,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
upstartBureau,2017-09,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,upstartBureau,2017-09,3
tabakd,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
tomlof,2017-03,383,382,30,,,,,,,,,,,,,,,,,,,,,,,,,
joozek78,2017-11,12,10,7,,,,,,,,,,,,,,,,,,,,,2,,joozek78,2017-11,2
zhreshold,2017-12,619,594,78,36,64,,69,16,7,1,0,0,1,1,1,1,2,13,13,65,1073,95,23,,1,,,
Javierdelossantos,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Javierdelossantos,2017-02,1
format-message,2017-01,15,10,10,1,7,,22,1,4,16,0,0,24,316,71,35,15,6,5,25,314,54,31,,4,,,
jasmintung,2017-11,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
aitexiaoy,2017-12,6,6,5,,,,,,,,,,,,,,,,,,,,,3,,aitexiaoy,2017-12,3
luislavena,2017-07,11,10,5,2,22,2,6,1,2,4,0,0,4,17,6,5,5,2,0,6,22,12,5,,4,,,
andrakis,2017-10,19,19,16,,,,,,,,,,,,,,,,,,,,,,,,,
Chison,2017-02,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,Chison,2017-02,2
zephyreus,2017-03,19,19,19,1,,,,,,,,,,,,,,,,,,,,5,,zephyreus,2017-03,6
patrka54,2017-03,8,8,8,,1,,,,,,,,,,,,,,,,,,,2,,patrka54,2017-03,5
johnkabler,2017-04,10,10,9,,,,,,,,,,,,,,,,,,,,,1,,johnkabler,2017-04,1
q0988113683,2017-05,12,12,12,,5,,,,,,,,,,,,,,,,,,,2,,q0988113683,2017-05,1
likai1,2017-10,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,likai1,2017-10,1
KuharAC,2017-05,38,25,11,,,,,,,1,0,0,13,782,28,41,1,0,0,13,782,28,41,,1,,,
franck-talbart,2017-08,36,35,33,,,,,,,,,,,,,,,,,,,,,,,,,
nishanthp,2017-11,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
wdk956093628,2017-07,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,wdk956093628,2017-07,1
xXSentryBotXx,2017-09,17,17,12,,,,,,,,,,,,,,,,,,,,,2,,xXSentryBotXx,2017-09,2
strebitz,2017-05,119,119,2,,,,,,,,,,,,,,,,,,,,,1,,strebitz,2017-05,1
zzy13701214831,2017-10,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,zzy13701214831,2017-10,1
vitthallad,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,vitthallad,2017-11,1
JhonatanMatias,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,JhonatanMatias,2017-11,1
TamariskLabs,2017-04,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
StrangerWS,2017-04,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
sashabelan,2017-06,49,49,45,,,,,,,,,,,,,,,,,,,,,,,,,
ChrisCremp,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,ChrisCremp,2017-01,1
zama0023,2017-04,16,16,15,,,,,11,,,,,,,,,,,,,,,,1,,zama0023,2017-04,1
Pyrolistical,2017-12,11,11,11,1,2,,,,,,,,,,,,,,,,,,,1,,Pyrolistical,2017-12,1
darf53,2017-11,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,
OmSer,2017-12,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
saibulusu,2017-06,5,5,4,,,,,,,,,,,,,,,,,,,,,1,,saibulusu,2017-06,1
eBay,2017-09,169,132,75,70,358,,211,61,25,31,0,0,106,9206,2055,201,28,4,8,113,7642,1646,167,5,7,eBay,2017-09,2
mankidal19,2017-12,104,98,67,1,,,,,,2,0,0,71,14446,1239,98,2,0,0,71,14446,1239,98,2,1,mankidal19,2017-12,1
kenjimorita,2017-05,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
tonyonlian,2017-08,29,29,28,,2,,,,,,,,,,,,,,,,,,,1,,tonyonlian,2017-08,2
thangitc,2017-04,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,thangitc,2017-04,5
DunkelRatte,2017-07,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
vgazelot,2017-03,3,3,3,,,,,,,,,,,,,,,,,,,,,3,,,,
MorganHagg,2017-03,11,6,7,,,,,,,,,,,,,,,,,,,,,1,,MorganHagg,2017-03,1
Breeze,2017-02,27,27,25,9,19,,52,13,9,1,0,0,2,57,26,1,,,,,,,,,1,,,
nickschot,2017-07,2,2,2,,6,,,,,,,,,,,,,,,,,,,,,,,
ianlenehan,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
shiyu19941811,2017-06,2,2,1,,,1,,,,1,0,0,3,18,34,6,,,,,,,,,,shiyu19941811,2017-06,3
ammarx,2017-05,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,
lzylyd,2017-09,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
mramachi,2017-07,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,mramachi,2017-07,1
abeakkas,2017-08,20,20,13,,,,,,,,,,,,,,,,,,,,,,,,,
sr-wisptools-vivek,2017-04,10,9,7,,,,,,,,,,,,,,,,,,,,,1,,sr-wisptools-vivek,2017-04,1
TimSC,2017-06,64,63,38,2,4,,3,1,2,,,,,,,,,,,,,,,2,,TimSC,2017-06,4
gmp26,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
pechancho,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,pechancho,2017-05,1
JoniJnm,2017-04,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
xoelxowl,2017-08,10,10,6,,,,,,,,,,,,,,,,,,,,,1,,xoelxowl,2017-08,1
prashantd1,2017-05,16,16,15,,,,,,,,,,,,,,,,,,,,,1,,prashantd1,2017-05,1
harjindersandhu,2017-05,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
conjur,2017-06,22,22,20,,1,,,1,,,,,,,,,,,,,,,,1,,conjur,2017-06,3
gholamlooAli,2017-04,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,gholamlooAli,2017-04,1
Shayti,2017-12,10,10,10,,,,,,,,,,,,,,,,,,,,,2,,Shayti,2017-12,2
LeidyRosmery,2017-06,97,73,77,,,,,,,,,,,,,,,,,,,,,7,,LeidyRosmery,2017-06,10
ivaro18,2017-05,1,1,1,,,,,5,1,,,,,,,,,,,,,,,1,,ivaro18,2017-05,3
hassanShahzad,2017-06,26,26,26,,,,,,,,,,,,,,,,,,,,,1,,hassanShahzad,2017-06,1
456chenxigang,2017-06,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
zealot,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
JasonSteck,2017-09,38,38,11,,,,,,,,,,,,,,,,,,,,,,,,,
pajter,2017-11,4,4,1,,,,,,,,,,,,,,,,,,,,,1,,pajter,2017-11,1
TimvdLippe,2017-08,5,5,5,,1,,,,,,,,,,,,,,,,,,,2,,TimvdLippe,2017-08,4
ClauSaav,2017-03,16,14,13,,,,,,,1,0,0,1,4,0,1,1,0,0,2,7,0,2,3,1,ClauSaav,2017-03,7
asaarnak,2017-09,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
nurcse,2017-07,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,nurcse,2017-07,1
adon0420023,2017-10,5648,5648,5648,,,,,,,,,,,,,,,,,,,,,52,,adon0420023,2017-10,52
jozefg,2017-07,13,13,12,,34,4,,1,,,,,,,,,,,,,,,,1,,jozefg,2017-07,1
rikhallar,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,rikhallar,2017-12,1
thinkdb,2017-06,29,29,27,4,4,,,,,,,,,,,,,,,,,,,2,,thinkdb,2017-06,2
ChurchWebCRM,2017-03,714,311,258,5,7,,255,79,66,92,0,0,222,7454,5898,302,96,99,172,530,7608,8718,294,,,,,
mezenc3v,2017-06,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,
yource,2017-09,6,4,5,,,,,,,,,,,,,,,,,,,,,,,yource,2017-09,2
MMonterosso89,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
geovanimartins,2017-10,10,10,8,,,,,,,,,,,,,,,,,,,,,1,,,,
rs17b,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,rs17b,2017-03,1
sdw3md,2017-03,2,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,
jagoda11111,2017-03,1,1,1,,,1,,,,,,,,,,,,,,,,,,1,,jagoda11111,2017-03,1
h0bot,2017-03,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,
chrisp,2017-04,3,3,2,,,,,,,,,,,,,,,,,,,,,1,,chrisp,2017-04,1
MarisaDe,2017-01,13,11,9,,,,,,,1,0,0,2,24280,0,128,1,0,0,2,24280,0,128,1,1,MarisaDe,2017-01,1
dmitry-shanko,2017-01,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
passeride,2017-03,26,26,24,,2,,3,2,1,,,,,,,,,,,,,,,2,,passeride,2017-03,2
Sn01k3r,2017-10,144,141,123,,3,,,,,6,0,0,6,126,0,6,6,0,0,6,126,0,6,3,3,Sn01k3r,2017-10,1
axvu70159,2017-01,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,axvu70159,2017-01,1
SnoBotics981,2017-03,42,35,34,,3,,1,,,2,0,0,5,93,17,8,2,1,0,7,98,21,9,1,,,,
AngularianUK,2017-09,3,2,2,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,AngularianUK,2017-09,1
Runsheng,2017-07,9,9,8,,,,,,,,,,,,,,,,,,,,,1,,Runsheng,2017-07,1
adamcaron,2017-06,18,12,9,,,,,,,1,0,0,6,122,26,12,1,0,0,6,122,26,12,2,1,adamcaron,2017-06,1
MauriceGit,2017-10,7,7,7,2,7,,1,1,,,,,,,,,,,,,,,,1,,MauriceGit,2017-10,1
eicl1718,2017-10,7,7,6,2,1,,,,,2,0,0,2,3,2,2,1,0,0,1,2,1,1,,2,,,
jtoxic,2017-10,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,jtoxic,2017-10,1
Lucastrike,2017-06,5,5,4,,,,,,,,,,,,,,,,,,,,,1,,Lucastrike,2017-06,2
samtgarson,2017-03,13,13,7,2,8,,2,1,1,2,0,0,2,5,4,3,1,1,0,1,4,3,2,2,2,samtgarson,2017-03,2
philipwerner,2017-11,148,78,68,,,,,,,16,0,0,86,87143,78935,575,14,0,0,33,1575,78916,391,3,1,philipwerner,2017-11,3
polinakrusteva,2017-01,686,686,1,,,,,,,,,,,,,,,,,,,,,1,,polinakrusteva,2017-01,1
freecitiesdev,2017-05,567,567,47,,,,,,,,,,,,,,,,,,,,,,,,,
DesignSuccess,2017-11,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,
ChavdaKishan,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,ChavdaKishan,2017-08,3
sebarbour,2017-06,7,7,7,,,,,,,,,,,,,,,,,,,,,1,,sebarbour,2017-06,1
JinGangRed,2017-06,13,13,37,,,,,,,,,,,,,,,,,,,,,4,,JinGangRed,2017-06,3
bryik,2017-05,67,67,10,5,12,,32,7,4,5,0,0,5,107,34,8,4,9,3,5,89,26,7,1,1,bryik,2017-05,2
GodHatesBaguettes,2017-02,29,16,14,,,,,,,7,0,0,8,1178,51,36,6,0,0,7,53,51,13,1,2,GodHatesBaguettes,2017-02,2
richardmjbishop,2017-09,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
mikalhart,2017-04,6,6,4,14,13,,12,,8,2,0,0,2,18,0,2,4,4,0,7,25,6,4,1,2,,,
vmahant,2017-09,2,1,2,1,,,,,,,,,,,,,,,,,,,,1,,vmahant,2017-09,1
xRollingRoyceX,2017-12,19,19,19,,,,,,,,,,,,,,,,,,,,,2,,xRollingRoyceX,2017-12,2
arithmometer,2017-05,26,26,24,,,,1,,3,,,,,,,,,,,,,,,1,,arithmometer,2017-05,1
smmadera10,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
John1997x,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,John1997x,2017-11,1
fakturownia,2017-08,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
lucakiebel,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
bratliff,2017-04,5,5,5,,,,,,,,,,,,,,,,,,,,,2,,bratliff,2017-04,1
elmagodeozzzo,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,elmagodeozzzo,2017-08,1
IsaFG,2017-10,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,
holacracyone,2017-02,1,1,1,1,3,,3,,,,,,,,,,,,,,,,,1,,holacracyone,2017-02,1
nixxcode,2017-01,77,76,42,4,1,2,43,8,6,15,0,0,21,468,300,30,17,11,3,27,635,349,35,,1,,,
liuchuo,2017-04,63,63,52,33,67,2,6,2,5,,,,,,,,,,,,,,,2,,liuchuo,2017-04,1
r-reynoso,2017-07,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
spell-music,2017-08,3,3,2,1,3,,7,2,1,1,0,0,1,18,1,1,1,3,0,1,18,1,1,,1,,,
ruby-processing,2017-01,92,64,59,1,5,1,3,1,2,3,0,0,21,114,68,22,3,0,0,22,113,67,21,,,,,
paulaladdin,2017-04,6,6,5,,,,,,,,,,,,,,,,,,,,,1,,paulaladdin,2017-04,1
Devempire,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
gokuai,2017-05,80,41,45,4,6,,,,,,,,,,,,,,,,,,,,,,,
dalcde,2017-01,21,21,20,4,4,,,,,2,0,0,2,1,1,1,2,0,0,2,1,1,1,,2,,,
grmartin,2017-08,13,12,10,3,,,,,,,,,,,,,,,,,,,,6,,grmartin,2017-08,5
JudeChenn,2017-11,10,10,6,,,,,,,,,,,,,,,,,,,,,1,,,,
talentprince,2017-09,59,59,48,,,,,,,,,,,,,,,,,,,,,1,,talentprince,2017-09,1
niflheims-io,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,niflheims-io,2017-01,2
HTY886,2017-02,3,2,2,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,HTY886,2017-02,1
TurbinaEolicaUG,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,TurbinaEolicaUG,2017-07,1
foxez,2017-11,5,5,5,,,,,,,,,,,,,,,,,,,,,2,,foxez,2017-11,2
srinnix1395,2017-07,5,5,4,,,,,,,,,,,,,,,,,,,,,1,,srinnix1395,2017-07,1
jpCornillon,2017-02,30,30,28,,,,,,,,,,,,,,,,,,,,,1,,,,
donniepropst,2017-01,8,4,4,,,,,,,3,0,0,4,759,29,47,3,0,0,4,759,29,47,2,1,donniepropst,2017-01,1
jdpenuliar,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,jdpenuliar,2017-02,3
chemelnucfin,2017-11,428,225,122,,,,,,,,,,,,,,,,,,,,,1,,chemelnucfin,2017-11,1
this-is-angus,2017-10,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,this-is-angus,2017-10,1
ruancomelli,2017-06,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,
fbelzunc,2017-12,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
guanjivip,2017-04,1,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,guanjivip,2017-04,1
aligorji,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
oinariman,2017-04,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
sinanargun,2017-10,2,2,2,1,,,,,,,,,,,,,,,,,,,,1,,sinanargun,2017-10,2
hackions,2017-01,11,8,8,1,,,,,,3,0,0,3,472,27,17,3,0,0,3,472,27,17,,,,,
mlctrez,2017-04,3,3,3,,,,,,,,,,,,,,,,,,,,,,,mlctrez,2017-04,2
hbb3353,2017-08,4,4,2,,,,,,,,,,,,,,,,,,,,,1,,hbb3353,2017-08,1
sebastianhutter,2017-09,10,10,6,1,,,,,,,,,,,,,,,,,,,,1,,sebastianhutter,2017-09,1
sajidkhan362,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,sajidkhan362,2017-08,1
danyshaanan,2017-03,20,18,19,1,3,,,,,,,,,,,,,,,,,,,1,,danyshaanan,2017-03,1
paulutkin,2017-04,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,paulutkin,2017-04,1
final-spd,2017-03,6,6,6,4,,,,,,,,,,,,,,,,,,,,4,,final-spd,2017-03,1
peiguowei,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,peiguowei,2017-11,3
seanrcollings,2017-04,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,
KolokourisG,2017-12,4,4,4,,,,,,,,,,,,,,,,,,,,,4,,KolokourisG,2017-12,6
khaledsalem999,2017-02,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
movim,2017-04,119,114,95,6,20,,54,15,16,3,0,0,4,126,2,5,3,4,6,12,306,5,8,,3,,,
nachojorge,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,nachojorge,2017-11,1
Shiverzz,2017-05,3,3,1,,,,,,,,,,,,,,,,,,,,,1,,Shiverzz,2017-05,1
kornefalk,2017-04,7,4,4,,,1,,,,1,0,0,3,4,1,2,1,0,0,3,4,1,2,1,1,kornefalk,2017-04,1
Lsefsaf,2017-05,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
RafaelVenancioGD,2017-05,13,13,9,,,,,,,,,,,,,,,,,,,,,1,,RafaelVenancioGD,2017-05,1
Mr-Monster-0248,2017-11,7,7,7,,,,,,,,,,,,,,,,,,,,,,,Mr-Monster-0248,2017-11,3
yuriylomako,2017-03,15,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
Airbitz,2017-01,1522,2360,32,1,7,,,,,1,0,0,85,45151,403,38,1,0,0,85,45151,403,38,2,1,,,
youheiakimoto,2017-09,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
xiaogui5910,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
netdiskfe,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
shailenwu,2017-02,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,shailenwu,2017-02,1
sipplified,2017-09,27,20,9,,1,,,,,,,,,,,,,,,,,,,1,,sipplified,2017-09,3
Bernard1992,2017-10,3,3,3,,,,,3,,1,0,0,2,57,2,7,,,,,,,,3,1,Bernard1992,2017-10,4
ashikulin,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,ashikulin,2017-09,2
alexiabareno,2017-05,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
denfromufa,2017-12,3,3,1,,1,,,,,1,0,0,2,19,2,4,1,0,0,2,19,2,4,1,1,denfromufa,2017-12,1
rpouenat,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
duo-labs,2017-11,6,6,6,13,66,,6,1,,,,,,,,,,,,,,,,2,,duo-labs,2017-11,2
sahilarora535,2017-07,46,16,18,,1,,,,,,,,,,,,,,,,,,,2,,sahilarora535,2017-07,3
fatcat916,2017-04,15,15,10,,,,,,,,,,,,,,,,,,,,,1,,fatcat916,2017-04,1
loretoparisi,2017-05,89,89,8,,12,,,,,,,,,,,,,,,,,,,2,,loretoparisi,2017-05,5
feather-test,2017-09,10,9,6,,,,,,,,,,,,,,,,,,,,,,,,,
mateusrdgs,2017-04,1,1,1,,,,,4,2,,,,,,,,,,,,,,,1,,,,
caporalmktdigital,2017-09,23,23,23,,,,,,,,,,,,,,,,,,,,,2,,caporalmktdigital,2017-09,2
sfraise,2017-10,172,172,1,,,,,,,,,,,,,,,,,,,,,,,,,
innovation1005,2017-09,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,
Emtec165,2017-08,51,51,50,,,,,,,,,,,,,,,,,,,,,1,,Emtec165,2017-08,2
91shetty,2017-01,55,55,54,,,,,,,,,,,,,,,,,,,,,,,,,
xuerenlv,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
yuliyah,2017-03,7,7,7,,,,,,,,,,,,,,,,,,,,,3,,yuliyah,2017-03,10
SisiphoNgamlana,2017-02,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,SisiphoNgamlana,2017-02,1
cmccvic,2017-05,13,13,12,1,,,,,,,,,,,,,,,,,,,,1,,cmccvic,2017-05,1
xSerg777x,2017-01,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,xSerg777x,2017-01,1
peyncw,2017-04,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,peyncw,2017-04,1
AnewG,2017-07,12,12,12,,,,,,,,,,,,,,,,,,,,,1,,AnewG,2017-07,1
liamjohnston,2017-12,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
windyChess,2017-01,40,40,40,,,,,,,,,,,,,,,,,,,,,4,,windyChess,2017-01,1
andrewj1990,2017-03,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,
PepeChan,2017-03,14,13,13,,,,,,,1,0,0,1,1,1,1,1,0,0,1,1,1,1,2,1,PepeChan,2017-03,3
ReiMatsuzaki,2017-12,33,33,21,,,,,,,,,,,,,,,,,,,,,2,,ReiMatsuzaki,2017-12,3
mousesrc,2017-06,20,20,8,3,3,,,2,3,1,0,0,9,663,237,10,1,0,0,10,648,288,10,2,,mousesrc,2017-06,1
vincib,2017-04,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,vincib,2017-04,2
hannahbeale,2017-05,10,10,9,,,,,,,,,,,,,,,,,,,,,4,,hannahbeale,2017-05,8
williamd1k0,2017-04,289,284,13,,2,,,1,,,,,,,,,,,,,,,,1,,williamd1k0,2017-04,2
F-I-D-O,2017-10,49,22,21,1,,,3,8,8,,,,,,,,,,,,,,,1,,,,
