"sale","emp","RandD","lt","at","ch","ebit","ni","ppegt","xad","xopr","xrd"
4613.551,29.4,NA,2830.695,4518.413,472.951,211.11,83.694,641.05,3.518,4310.073,NA
1049.632,2.029,NA,972.361,1666.012,3.451,127.953,90.574,2021.227,NA,849.375,NA
1052.307,2.054,NA,833.752,1544.419,19.291,96.697,110.628,2023.256,NA,880.177,NA
1081.157,2.025,NA,873.921,1597.569,0.558,72.184,58.156,2014.514,NA,938.256,NA
1233,2.041,NA,949,1760,6,117,81,2130,NA,1043,NA
1494,2.056,NA,874,1778,42,165,101,2118,NA,1249,NA
63.965,0.001,NA,385.61,403.305,2.272,25.497,5.197,0,NA,38.468,0
69.343,0.078,NA,538.258,583.339,135.258,29.195,27.386,0,NA,40.148,0
76.193,0.06,NA,596.247,664.912,45.239,34.026,23.584,0,NA,42.167,0
87.162,0.035,NA,870.073,920.996,21.336,-7.24,-17.742,0,NA,94.402,0
148.895,0.078,NA,1226.433,1244.801,128.874,4.468,-33.469,0,NA,144.427,0
1.386,0.009,NA,9.314,21.992,0.413,-1.064,2.205,4.203,NA,2.068,NA
95.844,0.219,NA,28.727,36.709,0.19,-1.176,3.714,19.073,NA,95.389,NA
1.345,0.125,NA,20.567,26.059,0.002,-1.122,-1.852,6.681,NA,2.26,NA
3.148,0.012,NA,12.595,16.47,0.035,0.131,-1.948,12.329,NA,2.402,NA
5.255,0.027,NA,12.861,18.1,1.805,0.193,0.725,11.643,NA,4.253,NA
0,0.014,0.6312718,0.62,0.488,0.257,-2.524,-1.722,1.149,NA,2.43,1.88
0,0.014,0.6423801,0.942,0.202,0.045,-2.606,-2.295,1.149,NA,2.531,1.901
0,0.014,0.7095125,2.114,0.229,0.086,-2.831,-2.591,1.149,NA,2.792,2.033
0,0.013,0.5306283,2.987,0.495,0.33,-2.325,-2.412,1.149,NA,2.309,1.7
0,0.015,1.209855,1.539,10.421,10.148,-4.931,-5.07,1.152,NA,4.921,3.353
283.738,NA,NA,172.262,372.005,4.983,22.46,2.179,658.485,NA,233.287,NA
295.724,NA,NA,166.242,395.037,46.714,37.246,31.619,665.836,NA,229.923,NA
289.741,NA,NA,152.27,399.561,63.991,34.788,22.235,676.491,NA,226.556,NA
279.188,NA,NA,136.462,387.214,62.313,29.737,11.739,663.391,NA,224.486,NA
319.792,1.2,NA,152.664,420.21,39.261,34.627,23.915,705.873,NA,260.515,NA
1106,3.7,NA,1209,1445,0,30,-60,1428,NA,1003,NA
912,NA,NA,1385,1228,0,-159,-393,1438,NA,1001,NA
1114,NA,NA,787,1132,0,65,17,736,NA,991,NA
1138,NA,NA,656,1026,0,13,9,756,NA,1070,NA
1803.1,NA,NA,761.1,1673.4,186.2,545,343.8,792.9,NA,1205.9,NA
45.1,0.144,NA,73.331,176.876,1.796,7.203,14.111,136.822,NA,32.778,NA
54.609,0.15,NA,66.508,179.134,6.225,9.665,16.066,138.352,NA,37.998,NA
49.185,0.152,NA,78.692,191.91,10.14,3.872,7.535,142.355,NA,38.331,NA
48.285,0.143,NA,86.566,212.748,16.352,4.703,12.659,144.578,NA,36.859,NA
52.057,0.149,NA,93.044,238.242,24.299,6.667,17.813,147.756,NA,38.881,NA
0,0.002,NA,4.795,0.007,0.006,-0.046,-0.174,0,NA,0.046,0
0,0.002,NA,0.326,0.658,0.402,-0.07,6.843,0,NA,0.07,0
0,0.002,NA,0.104,0.345,0.034,-0.079,-0.085,0,NA,0.079,0
0,0.002,NA,0.128,0.307,0.008,-0.051,-0.056,0,NA,0.051,0
0,0,NA,0.192,0.302,0.023,-0.044,-0.069,0,NA,0.044,0
945.208,NA,NA,1542.542,2707.616,10.247,11.816,68.857,260.771,NA,914.398,NA
402.533,2.081,NA,484.423,1875.005,15.717,25.747,224.23,272.63,NA,357.044,NA
